year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_rate,cancel_rate,divert_rate,date,delay_category
2025,7,YV,Mesa Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",18,2,1.43,0.0,0.57,0.0,0.0,0,0,44.0,32.0,0.0,12.0,0.0,0.0,0.1111111111111111,0.0,0.0,2025-07-01,poor
2025,7,YV,Mesa Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",48,16,4.06,3.15,5.49,0.0,3.3,2,0,1282.0,331.0,438.0,259.0,0.0,254.0,0.3333333333333333,0.041666666666666664,0.0,2025-07-01,poor
2025,7,YV,Mesa Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",65,10,3.53,1.0,3.04,0.0,2.43,2,0,735.0,151.0,172.0,139.0,0.0,273.0,0.15384615384615385,0.03076923076923077,0.0,2025-07-01,poor
2025,7,YV,Mesa Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",134,31,13.19,2.43,10.63,0.0,4.74,8,0,2264.0,798.0,303.0,702.0,0.0,461.0,0.23134328358208955,0.05970149253731343,0.0,2025-07-01,poor
2025,7,YV,Mesa Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",61,12,6.44,0.28,3.59,0.0,1.69,0,0,630.0,211.0,17.0,123.0,0.0,279.0,0.19672131147540983,0.0,0.0,2025-07-01,poor
2025,7,YV,Mesa Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",31,5,1.84,0.0,1.15,0.0,2.01,0,0,668.0,154.0,0.0,67.0,0.0,447.0,0.16129032258064516,0.0,0.0,2025-07-01,poor
2025,7,YV,Mesa Airlines Inc.,CRP,"Corpus Christi, TX: Corpus Christi International",19,4,0.71,0.3,0.7,0.0,2.29,1,0,823.0,45.0,6.0,14.0,0.0,758.0,0.21052631578947367,0.05263157894736842,0.0,2025-07-01,poor
2025,7,YV,Mesa Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",75,14,7.64,1.0,3.57,0.0,1.79,0,0,722.0,485.0,24.0,81.0,0.0,132.0,0.18666666666666668,0.0,0.0,2025-07-01,poor
2025,7,YV,Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",97,23,8.09,0.73,4.85,0.0,9.33,1,0,2125.0,655.0,65.0,437.0,0.0,968.0,0.23711340206185566,0.010309278350515464,0.0,2025-07-01,poor
2025,7,YV,Mesa Airlines Inc.,DRO,"Durango, CO: Durango La Plata County",31,1,0.82,0.0,0.18,0.0,0.0,0,0,50.0,41.0,0.0,9.0,0.0,0.0,0.03225806451612903,0.0,0.0,2025-07-01,good
